id,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_max_samples,param_max_features,param_max_depth,param_criterion,param_bootstrap,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_train_accuracy,split1_train_accuracy,split2_train_accuracy,split3_train_accuracy,split4_train_accuracy,mean_train_accuracy,std_train_accuracy,split0_test_precision_weighted,split1_test_precision_weighted,split2_test_precision_weighted,split3_test_precision_weighted,split4_test_precision_weighted,mean_test_precision_weighted,std_test_precision_weighted,rank_test_precision_weighted,split0_train_precision_weighted,split1_train_precision_weighted,split2_train_precision_weighted,split3_train_precision_weighted,split4_train_precision_weighted,mean_train_precision_weighted,std_train_precision_weighted,split0_test_recall_weighted,split1_test_recall_weighted,split2_test_recall_weighted,split3_test_recall_weighted,split4_test_recall_weighted,mean_test_recall_weighted,std_test_recall_weighted,rank_test_recall_weighted,split0_train_recall_weighted,split1_train_recall_weighted,split2_train_recall_weighted,split3_train_recall_weighted,split4_train_recall_weighted,mean_train_recall_weighted,std_train_recall_weighted,split0_test_f1_weighted,split1_test_f1_weighted,split2_test_f1_weighted,split3_test_f1_weighted,split4_test_f1_weighted,mean_test_f1_weighted,std_test_f1_weighted,rank_test_f1_weighted,split0_train_f1_weighted,split1_train_f1_weighted,split2_train_f1_weighted,split3_train_f1_weighted,split4_train_f1_weighted,mean_train_f1_weighted,std_train_f1_weighted
9,2.297593593597412,0.21509024091678364,0.14258508682250975,0.04289868242415243,194,0.9191919191919192,0.696969696969697,843,entropy,True,"{'n_estimators': 194, 'max_samples': 0.9191919191919192, 'max_features': 0.696969696969697, 'max_depth': 843, 'criterion': 'entropy', 'bootstrap': True}",0.8623481781376519,0.8097165991902834,0.8137651821862348,0.8380566801619433,0.8617886178861789,0.8371350515124586,0.022548932607097755,1,0.878419452887538,0.8855116514690983,0.8814589665653495,0.8804457953394124,0.8765182186234818,0.8804708169769759,0.003040335719613864,0.8662821161305296,0.8108445008861155,0.8216125399502394,0.8428764019976214,0.8619755662797269,0.8407182250488466,0.02176010758072003,1,0.8790803057570535,0.8866088910727425,0.8831350887650125,0.8859116964269192,0.876958898777278,0.8823389761598012,0.003773445751211829,0.8623481781376519,0.8097165991902834,0.8137651821862348,0.8380566801619433,0.8617886178861789,0.8371350515124586,0.022548932607097755,1,0.878419452887538,0.8855116514690983,0.8814589665653495,0.8804457953394124,0.8765182186234818,0.8804708169769759,0.003040335719613864,0.8604639868317567,0.8074410697333494,0.8153626987778623,0.8377380562457057,0.8614177164449675,0.8364847056067284,0.022306518341404437,1,0.8780200965594259,0.8847523022744619,0.8812227931572961,0.8800778875473827,0.8757508148248213,0.8799647788726774,0.0030349647817175494
8,2.3787518978118896,0.37090158977189175,0.18650221824645996,0.05390995657678119,249,0.6060606060606061,0.5555555555555556,70,entropy,True,"{'n_estimators': 249, 'max_samples': 0.6060606060606061, 'max_features': 0.5555555555555556, 'max_depth': 70, 'criterion': 'entropy', 'bootstrap': True}",0.8623481781376519,0.8137651821862348,0.8137651821862348,0.8259109311740891,0.8617886178861789,0.8355156183140778,0.02212993326587824,2,0.8763931104356636,0.8855116514690983,0.8794326241134752,0.8794326241134752,0.8755060728744939,0.8792552166012412,0.00350581387108266,0.8655558577031623,0.8166642251386013,0.8176306824080104,0.8317826679322524,0.8620626742936642,0.8387392214951381,0.02118671731045564,2,0.8775059014336271,0.886350650692756,0.8814961464681289,0.8844145022877511,0.876652888483648,0.8812840178731822,0.0037745787206648496,0.8623481781376519,0.8137651821862348,0.8137651821862348,0.8259109311740891,0.8617886178861789,0.8355156183140778,0.02212993326587824,2,0.8763931104356636,0.8855116514690983,0.8794326241134752,0.8794326241134752,0.8755060728744939,0.8792552166012412,0.00350581387108266,0.8602857143520091,0.8121152546212356,0.8139751843442332,0.8260065201960531,0.8612594912602312,0.8347284329547524,0.02179539681506665,2,0.8761051316168673,0.8848808345061079,0.8791787349372203,0.8791012782983727,0.8747581601111359,0.8788048278939409,0.0034873894478029037
1,1.4441948890686036,0.17182408818888337,0.12916202545166017,0.0028864331805688722,127,0.7323232323232324,0.19191919191919193,843,entropy,True,"{'n_estimators': 127, 'max_samples': 0.7323232323232324, 'max_features': 0.19191919191919193, 'max_depth': 843, 'criterion': 'entropy', 'bootstrap': True}",0.8502024291497976,0.7975708502024291,0.8178137651821862,0.8461538461538461,0.8617886178861789,0.8347059017148876,0.023533073055194014,3,0.878419452887538,0.8844984802431611,0.8804457953394124,0.8804457953394124,0.8755060728744939,0.8798631193368036,0.0029405312469579625,0.8569259091082116,0.7977348877353552,0.8217317809601685,0.8489332346210796,0.8619755662797269,0.8374602757409084,0.024236464834288717,9,0.879868089963502,0.8860467669576426,0.8822408093152965,0.8816105822498368,0.8759476390102131,0.8811427774992981,0.0032890095772378563,0.8502024291497976,0.7975708502024291,0.8178137651821862,0.8461538461538461,0.8617886178861789,0.8347059017148876,0.023533073055194014,3,0.878419452887538,0.8844984802431611,0.8804457953394124,0.8804457953394124,0.8755060728744939,0.8798631193368036,0.0029405312469579625,0.8477943743733747,0.7946263037244841,0.8182618649015454,0.8463619633543332,0.8614177164449675,0.8336924445597409,0.024051353310834522,4,0.8777982880894392,0.8837831361891254,0.8802022205347211,0.8803696948853585,0.8746693933780502,0.8793645466153389,0.00302435395260171
14,3.7619207382202147,0.25443281581939375,0.24897255897521972,0.03861322657401737,363,0.8484848484848485,0.4747474747474748,748,entropy,True,"{'n_estimators': 363, 'max_samples': 0.8484848484848485, 'max_features': 0.4747474747474748, 'max_depth': 748, 'criterion': 'entropy', 'bootstrap': True}",0.8623481781376519,0.8016194331983806,0.8178137651821862,0.8299595141700404,0.8617886178861789,0.8347059017148876,0.024083836203173063,3,0.878419452887538,0.8855116514690983,0.8814589665653495,0.8804457953394124,0.8765182186234818,0.8804708169769759,0.003040335719613864,0.8655558577031623,0.8021030957046712,0.8225892565045998,0.8360760498531397,0.8619755662797269,0.83765996520906,0.023930546550933105,6,0.8789754750489456,0.8865003116644202,0.8834522755526104,0.884270263561946,0.876958898777278,0.88203144492104,0.0035233936708892184,0.8623481781376519,0.8016194331983806,0.8178137651821862,0.8299595141700404,0.8617886178861789,0.8347059017148876,0.024083836203173063,3,0.878419452887538,0.8855116514690983,0.8814589665653495,0.8804457953394124,0.8765182186234818,0.8804708169769759,0.003040335719613864,0.8602857143520091,0.7984640522603861,0.8185767586720842,0.8302631081577337,0.8614177164449675,0.8338014699774362,0.02431919899443752,3,0.8780860475125145,0.884823842319536,0.8812590011293906,0.8800496628527669,0.8757508148248213,0.8799938737278058,0.003052068350733771
6,1.2591416358947753,0.3682170799395442,0.13170185089111328,0.013168611058257288,109,0.5707070707070707,0.43434343434343436,956,entropy,True,"{'n_estimators': 109, 'max_samples': 0.5707070707070707, 'max_features': 0.43434343434343436, 'max_depth': 956, 'criterion': 'entropy', 'bootstrap': True}",0.8502024291497976,0.805668016194332,0.8137651821862348,0.8421052631578947,0.8617886178861789,0.8347059017148876,0.021494552600147276,3,0.8753799392097265,0.8844984802431611,0.8794326241134752,0.8763931104356636,0.8744939271255061,0.8780396162255064,0.0036335704124899875,0.8565106698265755,0.8058359531692475,0.8176306824080104,0.8446398527001924,0.8620626742936642,0.837335966479538,0.021968045614411884,12,0.8764157600977275,0.885806382069047,0.8815856639458821,0.8780663454845455,0.8757639541447009,0.8795276211483806,0.003732092547998029,0.8502024291497976,0.805668016194332,0.8137651821862348,0.8421052631578947,0.8617886178861789,0.8347059017148876,0.021494552600147276,3,0.8753799392097265,0.8844984802431611,0.8794326241134752,0.8763931104356636,0.8744939271255061,0.8780396162255064,0.0036335704124899875,0.8477137691010571,0.803252295875417,0.8139751843442332,0.8421053753926528,0.8612594912602312,0.8336612231947182,0.02164571615512365,5,0.8748657521375073,0.8838611264179592,0.8792535169488401,0.8762291616691554,0.8737003177322652,0.8775819749811454,0.0036468350307462187
16,3.365597677230835,0.2993323746745718,0.4165616989135742,0.07767613703181626,652,0.9242424242424243,0.30303030303030304,204,gini,False,"{'n_estimators': 652, 'max_samples': 0.9242424242424243, 'max_features': 0.30303030303030304, 'max_depth': 204, 'criterion': 'gini', 'bootstrap': False}",0.854251012145749,0.805668016194332,0.8097165991902834,0.8380566801619433,0.8617886178861789,0.8338961851156974,0.022764438954152155,6,0.878419452887538,0.8855116514690983,0.8814589665653495,0.8804457953394124,0.8765182186234818,0.8804708169769759,0.003040335719613864,0.8586090441468016,0.8085361931097438,0.8173611669682163,0.8414496236477661,0.8630449846662184,0.8378002025077492,0.021715255518081143,3,0.8801884302346056,0.886900222611778,0.882343252020168,0.8844498838002651,0.8774040133359869,0.8822571604005607,0.0032926024752990115,0.854251012145749,0.805668016194332,0.8097165991902834,0.8380566801619433,0.8617886178861789,0.8338961851156974,0.022764438954152155,6,0.878419452887538,0.8855116514690983,0.8814589665653495,0.8804457953394124,0.8765182186234818,0.8804708169769759,0.003040335719613864,0.8524626687966529,0.8029176618602062,0.8118417010476044,0.8379151952519143,0.8617810039570449,0.8333836461826845,0.02272965274867382,7,0.8783583896943434,0.8849728055690107,0.8813915377129318,0.8801562744098747,0.8758393736150465,0.8801436762002414,0.0030526079402080773
18,0.8470020771026612,0.06499865879232476,0.1463932991027832,0.03796268841428079,147,0.6161616161616161,0.5858585858585859,106,entropy,False,"{'n_estimators': 147, 'max_samples': 0.6161616161616161, 'max_features': 0.5858585858585859, 'max_depth': 106, 'criterion': 'entropy', 'bootstrap': False}",0.854251012145749,0.805668016194332,0.8137651821862348,0.8340080971659919,0.8617886178861789,0.8338961851156974,0.021883354921882134,6,0.878419452887538,0.8855116514690983,0.8814589665653495,0.8804457953394124,0.8765182186234818,0.8804708169769759,0.003040335719613864,0.8593353025741689,0.8082016678586553,0.8198894795014171,0.8375812922490703,0.8630449846662184,0.837610545369906,0.021437326725289783,8,0.8801884302346056,0.886900222611778,0.882343252020168,0.8844498838002651,0.8774040133359869,0.8822571604005607,0.0032926024752990115,0.854251012145749,0.805668016194332,0.8137651821862348,0.8340080971659919,0.8617886178861789,0.8338961851156974,0.021883354921882134,6,0.878419452887538,0.8855116514690983,0.8814589665653495,0.8804457953394124,0.8765182186234818,0.8804708169769759,0.003040335719613864,0.8526409412764007,0.8034560645128525,0.8156237753029442,0.8338363649070341,0.8617810039570449,0.8334676299912551,0.021856331755369544,6,0.8783583896943434,0.8849728055690107,0.8813915377129318,0.8801562744098747,0.8758393736150465,0.8801436762002414,0.0030526079402080773
13,7.787139940261841,0.6552514234754268,0.531199836730957,0.08244897748067134,985,0.9797979797979799,0.5050505050505051,169,gini,False,"{'n_estimators': 985, 'max_samples': 0.9797979797979799, 'max_features': 0.5050505050505051, 'max_depth': 169, 'criterion': 'gini', 'bootstrap': False}",0.854251012145749,0.805668016194332,0.8097165991902834,0.8380566801619433,0.8617886178861789,0.8338961851156974,0.022764438954152155,6,0.878419452887538,0.8855116514690983,0.8814589665653495,0.8804457953394124,0.8765182186234818,0.8804708169769759,0.003040335719613864,0.8586090441468016,0.8085361931097438,0.8173611669682163,0.8414496236477661,0.8630449846662184,0.8378002025077492,0.021715255518081143,3,0.8801884302346056,0.886900222611778,0.882343252020168,0.8844498838002651,0.8774040133359869,0.8822571604005607,0.0032926024752990115,0.854251012145749,0.805668016194332,0.8097165991902834,0.8380566801619433,0.8617886178861789,0.8338961851156974,0.022764438954152155,6,0.878419452887538,0.8855116514690983,0.8814589665653495,0.8804457953394124,0.8765182186234818,0.8804708169769759,0.003040335719613864,0.8524626687966529,0.8029176618602062,0.8118417010476044,0.8379151952519143,0.8617810039570449,0.8333836461826845,0.02272965274867382,7,0.8783583896943434,0.8849728055690107,0.8813915377129318,0.8801562744098747,0.8758393736150465,0.8801436762002414,0.0030526079402080773
5,3.248531627655029,0.8275371377317123,0.2331751823425293,0.00349345609345948,304,0.6161616161616161,0.6767676767676768,627,entropy,True,"{'n_estimators': 304, 'max_samples': 0.6161616161616161, 'max_features': 0.6767676767676768, 'max_depth': 627, 'criterion': 'entropy', 'bootstrap': True}",0.8623481781376519,0.805668016194332,0.8137651821862348,0.8299595141700404,0.8577235772357723,0.8338928935848063,0.02278088956001421,9,0.8753799392097265,0.8824721377912867,0.8814589665653495,0.8763931104356636,0.8744939271255061,0.8780396162255064,0.0032770712081310613,0.8662821161305296,0.8062767192321848,0.822551745641203,0.8352900136300946,0.8582828497821323,0.8377366888832288,0.022195875994954692,5,0.8770960106190036,0.8834263747479986,0.8843333903598329,0.8801334854158014,0.875964668860664,0.8801907860006603,0.0033187705410119015,0.8623481781376519,0.805668016194332,0.8137651821862348,0.8299595141700404,0.8577235772357723,0.8338928935848063,0.02278088956001421,9,0.8753799392097265,0.8824721377912867,0.8814589665653495,0.8763931104356636,0.8744939271255061,0.8780396162255064,0.0032770712081310613,0.8604639868317567,0.8026918033820253,0.8154346243563039,0.8297861328654593,0.8572155365149575,0.8331184167901006,0.022707050950828943,9,0.8751827261710778,0.8817960409991061,0.8811483104884944,0.8760266467408062,0.8738527530120354,0.877601295482304,0.0032421527486713145
7,8.94817385673523,0.6177110569208231,0.6504289627075195,0.15704781063698775,947,0.9090909090909092,0.5454545454545455,277,entropy,True,"{'n_estimators': 947, 'max_samples': 0.9090909090909092, 'max_features': 0.5454545454545455, 'max_depth': 277, 'criterion': 'entropy', 'bootstrap': True}",0.8421052631578947,0.805668016194332,0.8178137651821862,0.8461538461538461,0.8577235772357723,0.8338928935848063,0.019187795751846544,9,0.878419452887538,0.8855116514690983,0.8814589665653495,0.8804457953394124,0.8765182186234818,0.8804708169769759,0.003040335719613864,0.8495638562702148,0.8088199520493192,0.8225892565045998,0.8489332346210796,0.8582828497821323,0.8376378298454693,0.018724116875213043,7,0.8801295381019661,0.8862925732446175,0.8836401862967649,0.8817259608883933,0.8777444790185133,0.881906547510051,0.002924240526347776,0.8421052631578947,0.805668016194332,0.8178137651821862,0.8461538461538461,0.8577235772357723,0.8338928935848063,0.019187795751846544,9,0.878419452887538,0.8855116514690983,0.8814589665653495,0.8804457953394124,0.8765182186234818,0.8804708169769759,0.003040335719613864,0.8398907235457009,0.8034229901666905,0.8185767586720842,0.8463619633543332,0.8572155365149575,0.8330935944507534,0.019468959632450766,10,0.877918966578314,0.8848514434586155,0.8812077544926109,0.8803552317577295,0.8757849485837917,0.8800236689742122,0.003072976459070811
2,4.409494638442993,0.21724232560140866,0.38486204147338865,0.05005453731411835,571,0.702020202020202,0.6262626262626263,689,gini,False,"{'n_estimators': 571, 'max_samples': 0.702020202020202, 'max_features': 0.6262626262626263, 'max_depth': 689, 'criterion': 'gini', 'bootstrap': False}",0.854251012145749,0.805668016194332,0.8097165991902834,0.8340080971659919,0.8617886178861789,0.8330864685165071,0.022673874855916192,11,0.878419452887538,0.8855116514690983,0.8814589665653495,0.8804457953394124,0.8765182186234818,0.8804708169769759,0.003040335719613864,0.8586090441468016,0.8085361931097438,0.8173611669682163,0.8375441491777635,0.8630449846662184,0.8370191076137488,0.02164004784449976,13,0.8801884302346056,0.886900222611778,0.882343252020168,0.8844498838002651,0.8774040133359869,0.8822571604005607,0.0032926024752990115,0.854251012145749,0.805668016194332,0.8097165991902834,0.8340080971659919,0.8617886178861789,0.8330864685165071,0.022673874855916192,11,0.878419452887538,0.8855116514690983,0.8814589665653495,0.8804457953394124,0.8765182186234818,0.8804708169769759,0.003040335719613864,0.8524626687966529,0.8029176618602062,0.8118417010476044,0.8339792404147667,0.8617810039570449,0.832596455215255,0.022627006067100067,11,0.8783583896943434,0.8849728055690107,0.8813915377129318,0.8801562744098747,0.8758393736150465,0.8801436762002414,0.0030526079402080773
0,5.704084873199463,1.3193468292382649,0.6304854869842529,0.08315961295996921,926,0.6414141414141414,0.09090909090909091,15,entropy,False,"{'n_estimators': 926, 'max_samples': 0.6414141414141414, 'max_features': 0.09090909090909091, 'max_depth': 15, 'criterion': 'entropy', 'bootstrap': False}",0.854251012145749,0.7975708502024291,0.8137651821862348,0.8340080971659919,0.8617886178861789,0.8322767519173168,0.024099766512035745,12,0.878419452887538,0.8855116514690983,0.8814589665653495,0.8804457953394124,0.8765182186234818,0.8804708169769759,0.003040335719613864,0.8593353025741689,0.8001487105316508,0.818982186060464,0.8375812922490703,0.8630449846662184,0.8358184952163145,0.023888173872828773,17,0.8801884302346056,0.886900222611778,0.882343252020168,0.8844498838002651,0.8774040133359869,0.8822571604005607,0.0032926024752990115,0.854251012145749,0.7975708502024291,0.8137651821862348,0.8340080971659919,0.8617886178861789,0.8322767519173168,0.024099766512035745,12,0.878419452887538,0.8855116514690983,0.8814589665653495,0.8804457953394124,0.8765182186234818,0.8804708169769759,0.003040335719613864,0.8526409412764007,0.7948969381933528,0.8151210100942966,0.8338363649070341,0.8617810039570449,0.8316552516856259,0.024401934874925518,14,0.8783583896943434,0.8849728055690107,0.8813915377129318,0.8801562744098747,0.8758393736150465,0.8801436762002414,0.0030526079402080773
10,6.767414188385009,0.45545041058406377,0.5997587203979492,0.09807179700131735,862,0.8080808080808082,0.26262626262626265,691,entropy,False,"{'n_estimators': 862, 'max_samples': 0.8080808080808082, 'max_features': 0.26262626262626265, 'max_depth': 691, 'criterion': 'entropy', 'bootstrap': False}",0.854251012145749,0.7975708502024291,0.8137651821862348,0.8340080971659919,0.8617886178861789,0.8322767519173168,0.024099766512035745,12,0.878419452887538,0.8855116514690983,0.8814589665653495,0.8804457953394124,0.8765182186234818,0.8804708169769759,0.003040335719613864,0.8593353025741689,0.8001487105316508,0.818982186060464,0.8375812922490703,0.8630449846662184,0.8358184952163145,0.023888173872828773,17,0.8801884302346056,0.886900222611778,0.882343252020168,0.8844498838002651,0.8774040133359869,0.8822571604005607,0.0032926024752990115,0.854251012145749,0.7975708502024291,0.8137651821862348,0.8340080971659919,0.8617886178861789,0.8322767519173168,0.024099766512035745,12,0.878419452887538,0.8855116514690983,0.8814589665653495,0.8804457953394124,0.8765182186234818,0.8804708169769759,0.003040335719613864,0.8526409412764007,0.7948969381933528,0.8151210100942966,0.8338363649070341,0.8617810039570449,0.8316552516856259,0.024401934874925518,14,0.8783583896943434,0.8849728055690107,0.8813915377129318,0.8801562744098747,0.8758393736150465,0.8801436762002414,0.0030526079402080773
19,2.3820366859436035,0.48415058213709156,0.39141168594360354,0.052609750376009304,611,0.8888888888888888,0.5656565656565657,962,entropy,False,"{'n_estimators': 611, 'max_samples': 0.8888888888888888, 'max_features': 0.5656565656565657, 'max_depth': 962, 'criterion': 'entropy', 'bootstrap': False}",0.854251012145749,0.7975708502024291,0.8137651821862348,0.8340080971659919,0.8617886178861789,0.8322767519173168,0.024099766512035745,12,0.878419452887538,0.8855116514690983,0.8814589665653495,0.8804457953394124,0.8765182186234818,0.8804708169769759,0.003040335719613864,0.8593353025741689,0.8001487105316508,0.818982186060464,0.8375812922490703,0.8630449846662184,0.8358184952163145,0.023888173872828773,17,0.8801884302346056,0.886900222611778,0.882343252020168,0.8844498838002651,0.8774040133359869,0.8822571604005607,0.0032926024752990115,0.854251012145749,0.7975708502024291,0.8137651821862348,0.8340080971659919,0.8617886178861789,0.8322767519173168,0.024099766512035745,12,0.878419452887538,0.8855116514690983,0.8814589665653495,0.8804457953394124,0.8765182186234818,0.8804708169769759,0.003040335719613864,0.8526409412764007,0.7948969381933528,0.8151210100942966,0.8338363649070341,0.8617810039570449,0.8316552516856259,0.024401934874925518,14,0.8783583896943434,0.8849728055690107,0.8813915377129318,0.8801562744098747,0.8758393736150465,0.8801436762002414,0.0030526079402080773
