id,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_weights,param_n_neighbors,param_leaf_size,param_algorithm,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_train_accuracy,split1_train_accuracy,split2_train_accuracy,split3_train_accuracy,split4_train_accuracy,mean_train_accuracy,std_train_accuracy,split0_test_precision_weighted,split1_test_precision_weighted,split2_test_precision_weighted,split3_test_precision_weighted,split4_test_precision_weighted,mean_test_precision_weighted,std_test_precision_weighted,rank_test_precision_weighted,split0_train_precision_weighted,split1_train_precision_weighted,split2_train_precision_weighted,split3_train_precision_weighted,split4_train_precision_weighted,mean_train_precision_weighted,std_train_precision_weighted,split0_test_recall_weighted,split1_test_recall_weighted,split2_test_recall_weighted,split3_test_recall_weighted,split4_test_recall_weighted,mean_test_recall_weighted,std_test_recall_weighted,rank_test_recall_weighted,split0_train_recall_weighted,split1_train_recall_weighted,split2_train_recall_weighted,split3_train_recall_weighted,split4_train_recall_weighted,mean_train_recall_weighted,std_train_recall_weighted,split0_test_f1_weighted,split1_test_f1_weighted,split2_test_f1_weighted,split3_test_f1_weighted,split4_test_f1_weighted,mean_test_f1_weighted,std_test_f1_weighted,rank_test_f1_weighted,split0_train_f1_weighted,split1_train_f1_weighted,split2_train_f1_weighted,split3_train_f1_weighted,split4_train_f1_weighted,mean_train_f1_weighted,std_train_f1_weighted
88,0.11134457588195801,0.03520749690377108,0.5748258113861084,0.09282319935824203,uniform,41,75,kd_tree,"{'weights': 'uniform', 'n_neighbors': 41, 'leaf_size': 75, 'algorithm': 'kd_tree'}",0.8152284263959391,0.8436548223350254,0.8241869918699187,0.818089430894309,0.8597560975609756,0.8321831538112334,0.01698175973757674,84,0.8559817119634239,0.8534417068834138,0.8550025393600813,0.8537328593194515,0.845352971051295,0.8527023577155332,0.003785949153627937,0.8188572494019724,0.8434177944469676,0.8257502055661345,0.824875256678022,0.8601945481979772,0.8346190108582148,0.015189182202446815,77,0.8576369252754455,0.8547693469679666,0.8563244254196964,0.8546377394198466,0.8465688140515251,0.853987450226896,0.0038691219270640155,0.8152284263959391,0.8436548223350254,0.8241869918699187,0.818089430894309,0.8597560975609756,0.8321831538112334,0.01698175973757674,84,0.8559817119634239,0.8534417068834138,0.8550025393600813,0.8537328593194515,0.845352971051295,0.8527023577155332,0.003785949153627937,0.8124236386854912,0.8414107935320211,0.8236640847406277,0.8163329357216478,0.8588081554252647,0.8305279216210104,0.01728920742583471,84,0.855166924287191,0.8525877516618222,0.8542197800590103,0.8529158877542659,0.8439955332927926,0.8517771754110164,0.003999109116417841
0,0.03226475715637207,0.021438142099538243,0.3394174575805664,0.08137783022411874,uniform,44,63,kd_tree,"{'weights': 'uniform', 'n_neighbors': 44, 'leaf_size': 63, 'algorithm': 'kd_tree'}",0.8162436548223351,0.8406091370558376,0.8241869918699187,0.8221544715447154,0.8567073170731707,0.8319803144731954,0.014770286118845637,86,0.8531877063754127,0.8486156972313945,0.8550025393600813,0.8519553072625698,0.8435754189944135,0.8504673338447744,0.00402764519579921,0.8201183344985011,0.8400058518714651,0.8252746158149304,0.8280778040203053,0.8570371895528136,0.8341027591516031,0.013195718498608044,85,0.8548797370376203,0.8501877731110796,0.8565864537070708,0.8527990474077192,0.8446592566674401,0.851822453586186,0.004170850874794861,0.8162436548223351,0.8406091370558376,0.8241869918699187,0.8221544715447154,0.8567073170731707,0.8319803144731954,0.014770286118845637,86,0.8531877063754127,0.8486156972313945,0.8550025393600813,0.8519553072625698,0.8435754189944135,0.8504673338447744,0.00402764519579921,0.8128159379791262,0.8383110104391814,0.8232130879663653,0.8201180840912932,0.8557105176735447,0.8300337276299021,0.01529120237465339,86,0.85238378271896,0.8475796044519732,0.8542116012039158,0.8510844995853729,0.8420682527703823,0.8494655481461209,0.004288096988305944
41,0.029295587539672853,0.026123889421808683,0.2584376335144043,0.06931040157174707,uniform,44,88,ball_tree,"{'weights': 'uniform', 'n_neighbors': 44, 'leaf_size': 88, 'algorithm': 'ball_tree'}",0.8162436548223351,0.8406091370558376,0.8241869918699187,0.8221544715447154,0.8567073170731707,0.8319803144731954,0.014770286118845637,86,0.8531877063754127,0.8486156972313945,0.8550025393600813,0.8519553072625698,0.8435754189944135,0.8504673338447744,0.00402764519579921,0.8201183344985011,0.8400058518714651,0.8252746158149304,0.8280778040203053,0.8570371895528136,0.8341027591516031,0.013195718498608044,85,0.8548797370376203,0.8501877731110796,0.8565864537070708,0.8527990474077192,0.8446592566674401,0.851822453586186,0.004170850874794861,0.8162436548223351,0.8406091370558376,0.8241869918699187,0.8221544715447154,0.8567073170731707,0.8319803144731954,0.014770286118845637,86,0.8531877063754127,0.8486156972313945,0.8550025393600813,0.8519553072625698,0.8435754189944135,0.8504673338447744,0.00402764519579921,0.8128159379791262,0.8383110104391814,0.8232130879663653,0.8201180840912932,0.8557105176735447,0.8300337276299021,0.01529120237465339,86,0.85238378271896,0.8475796044519732,0.8542116012039158,0.8510844995853729,0.8420682527703823,0.8494655481461209,0.004288096988305944
74,0.05247478485107422,0.027961495978921544,0.5181726932525634,0.11201451561316324,uniform,42,65,ball_tree,"{'weights': 'uniform', 'n_neighbors': 42, 'leaf_size': 65, 'algorithm': 'ball_tree'}",0.8121827411167513,0.8426395939086294,0.8262195121951219,0.823170731707317,0.8546747967479674,0.8317774751351574,0.015041233639678858,88,0.8536957073914148,0.8506477012954026,0.8539867953275775,0.8529710512950737,0.8450990350431691,0.8512800580705274,0.0033053340848225336,0.8160006065923677,0.8419165032903986,0.8276349608879342,0.8292907103404672,0.8550328554803189,0.8339751273182973,0.013354536575932722,87,0.8551285750886676,0.8519419442423517,0.8553748886923705,0.8537557388676448,0.8461497284468734,0.8524701750675817,0.0033877484997597413,0.8121827411167513,0.8426395939086294,0.8262195121951219,0.823170731707317,0.8546747967479674,0.8317774751351574,0.015041233639678858,88,0.8536957073914148,0.8506477012954026,0.8539867953275775,0.8529710512950737,0.8450990350431691,0.8512800580705274,0.0033053340848225336,0.8088371390491164,0.8403886780586888,0.8256761149226083,0.8213113474133662,0.8536170746753753,0.829966070823831,0.015541817407526711,88,0.8528439952708567,0.8497650143102814,0.8531513816419912,0.852114859611714,0.8436892768350035,0.8503129055339693,0.003518040429132289
55,0.04226961135864258,0.04630125443714322,1.1509910106658936,0.34498160784207116,uniform,47,27,brute,"{'weights': 'uniform', 'n_neighbors': 47, 'leaf_size': 27, 'algorithm': 'brute'}",0.817258883248731,0.8385786802030457,0.8221544715447154,0.8211382113821138,0.8577235772357723,0.8313707647228756,0.015067947301917428,89,0.8511557023114046,0.8473456946913894,0.8542407313357034,0.8514474352463179,0.8423057389537837,0.8492990605077197,0.004128072861419392,0.820732128169183,0.8381981899033164,0.8231398546038097,0.8275407338344722,0.8580820814371805,0.8335385975895923,0.013654364022041917,89,0.8528248706702634,0.8491541968787288,0.8558497806451322,0.8525174853120052,0.843614673099291,0.8507922013210841,0.004168631144135275,0.817258883248731,0.8385786802030457,0.8221544715447154,0.8211382113821138,0.8577235772357723,0.8313707647228756,0.015067947301917428,89,0.8511557023114046,0.8473456946913894,0.8542407313357034,0.8514474352463179,0.8423057389537837,0.8492990605077197,0.004128072861419392,0.8140105771086215,0.8364130346427483,0.8213222276471015,0.8191310878040613,0.8567343154244769,0.8295222485254019,0.015516494655161023,89,0.8502737101467345,0.8463517206790547,0.8534182068438586,0.85056069736632,0.8407538694330223,0.848271640893798,0.004380369465552073
52,0.0828467845916748,0.04422621968328235,0.5167823791503906,0.15313354079678387,uniform,46,46,ball_tree,"{'weights': 'uniform', 'n_neighbors': 46, 'leaf_size': 46, 'algorithm': 'ball_tree'}",0.8131979695431472,0.8406091370558376,0.8221544715447154,0.8211382113821138,0.8577235772357723,0.8309646733523174,0.016117626327457845,90,0.8531877063754127,0.8486156972313945,0.8539867953275775,0.8501777552056882,0.8443372270187912,0.8500610362317728,0.0034656102122691728,0.816220293669677,0.8400257570028895,0.8230173244487057,0.8275407338344722,0.8580847984252308,0.8329777814761951,0.01476226166916492,90,0.8548564271561537,0.8501645687146706,0.8557818876628447,0.8513017231425147,0.8455545665442163,0.85153183464408,0.0036542021672636435,0.8131979695431472,0.8406091370558376,0.8221544715447154,0.8211382113821138,0.8577235772357723,0.8309646733523174,0.016117626327457845,90,0.8531877063754127,0.8486156972313945,0.8539867953275775,0.8501777552056882,0.8443372270187912,0.8500610362317728,0.0034656102122691728,0.8097690445488794,0.8384476001127782,0.8212483948326496,0.8191310878040613,0.8567350144922037,0.8290662283581144,0.016647995098276837,90,0.8523619398228784,0.847655070971989,0.8532154616306649,0.8492521811061502,0.8427344321241925,0.8490438171311749,0.0037468100201205274
35,0.019408464431762695,0.009029048352531618,0.22692360877990722,0.05646696696594893,uniform,48,96,ball_tree,"{'weights': 'uniform', 'n_neighbors': 48, 'leaf_size': 96, 'algorithm': 'ball_tree'}",0.8142131979695432,0.8395939086294416,0.823170731707317,0.8211382113821138,0.8495934959349594,0.829541909124675,0.013032975491141236,91,0.8521717043434087,0.8486156972313945,0.8519553072625698,0.8501777552056882,0.8433214829862875,0.8492483894058698,0.0032331227749950934,0.8172293460494436,0.8398114731664955,0.8240670508269825,0.8276359272407539,0.849854753160498,0.8317197100888347,0.011658194912064608,91,0.8538371114966169,0.850334153407356,0.853605683303264,0.8512960893053687,0.8445964117372511,0.8507338898499714,0.0033472877755552593,0.8142131979695432,0.8395939086294416,0.823170731707317,0.8211382113821138,0.8495934959349594,0.829541909124675,0.013032975491141236,91,0.8521717043434087,0.8486156972313945,0.8519553072625698,0.8501777552056882,0.8433214829862875,0.8492483894058698,0.0032331227749950934,0.8108652972713929,0.8374691648661349,0.8223614391809665,0.8189535600541047,0.8483146698637568,0.827592826247271,0.013481479325454472,91,0.8513303564765051,0.8476332531553967,0.8511323365511541,0.8492076834094973,0.8418019351390003,0.8482211129463106,0.003483313432406722
75,0.08401722908020019,0.031813914055509776,0.14296503067016603,0.015137379374059056,distance,3,74,kd_tree,"{'weights': 'distance', 'n_neighbors': 3, 'leaf_size': 74, 'algorithm': 'kd_tree'}",0.8213197969543147,0.833502538071066,0.8313008130081301,0.8079268292682927,0.8445121951219512,0.827712434484751,0.01233669085137186,92,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.8247566314393839,0.8327220777128934,0.832428639382801,0.807662938000815,0.8437733209464905,0.8282687214964767,0.01195376921774751,92,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.8213197969543147,0.833502538071066,0.8313008130081301,0.8079268292682927,0.8445121951219512,0.827712434484751,0.01233669085137186,92,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.8200876023698964,0.8323685127033387,0.8310527513010131,0.8061568582200812,0.8428496159267451,0.826503068104215,0.012469475854969363,92,1.0,1.0,1.0,1.0,1.0,1.0,0.0
3,0.014115619659423827,0.0008744843048512554,0.14418020248413085,0.028333936972363482,distance,1,93,kd_tree,"{'weights': 'distance', 'n_neighbors': 1, 'leaf_size': 93, 'algorithm': 'kd_tree'}",0.7928934010152284,0.8050761421319796,0.8272357723577236,0.7936991869918699,0.8170731707317073,0.8071955346457018,0.01334446007305002,93,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.7942959621292487,0.8071679981255044,0.8279858588713901,0.7952918915570101,0.8157347788903756,0.8080952979147058,0.012721673255734308,94,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.7928934010152284,0.8050761421319796,0.8272357723577236,0.7936991869918699,0.8170731707317073,0.8071955346457018,0.01334446007305002,93,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.7913948927322907,0.8044458634120285,0.8271502601868981,0.7939182552962553,0.81508148771666,0.8063981518688264,0.013346964857149458,93,1.0,1.0,1.0,1.0,1.0,1.0,0.0
72,0.04388823509216309,0.03281505429326361,0.1798994541168213,0.014303473597005463,distance,2,71,kd_tree,"{'weights': 'distance', 'n_neighbors': 2, 'leaf_size': 71, 'algorithm': 'kd_tree'}",0.7928934010152284,0.8050761421319796,0.8272357723577236,0.7936991869918699,0.8170731707317073,0.8071955346457018,0.01334446007305002,93,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.7942959621292487,0.8071679981255044,0.8279858588713901,0.7952918915570101,0.8157347788903756,0.8080952979147058,0.012721673255734308,94,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.7928934010152284,0.8050761421319796,0.8272357723577236,0.7936991869918699,0.8170731707317073,0.8071955346457018,0.01334446007305002,93,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.7913948927322907,0.8044458634120285,0.8271502601868981,0.7939182552962553,0.81508148771666,0.8063981518688264,0.013346964857149458,93,1.0,1.0,1.0,1.0,1.0,1.0,0.0
