,genre,subset,train_accuracy,test_accuracy,train_weighted_f1,train_weighted_precision,train_weighted_recall,test_weighted_f1,test_weighted_precision,test_weighted_recall,feature_set
0,responsory,full,0.5406338886631451,0.5486012328117591,0.39459279633926225,0.4648335542000668,0.5406338886631451,0.40247370373554814,0.3983148887203964,0.5486012328117591,final
1,responsory,full,0.602803738317757,0.595542911332385,0.5722656179176128,0.5911652784335175,0.602803738317757,0.5656277345536019,0.5570975736482915,0.595542911332385,ambitus
2,responsory,full,0.47155627793579846,0.4642010431484116,0.38281627549602676,0.3899118222720321,0.47155627793579846,0.3704145643346787,0.38100586197847136,0.4642010431484116,initial
3,responsory,full,0.9026818366517676,0.8918918918918919,0.9026716314959103,0.9049856638563846,0.9026818366517676,0.8919709804091878,0.8952257664219975,0.8918918918918919,final-ambitus
4,responsory,full,0.7596505485574969,0.7439544807965861,0.7462048270103865,0.8005003894641319,0.7596505485574969,0.7281900975121803,0.7811098338206622,0.7439544807965861,final-initial
5,responsory,full,0.92157659488013,0.8952110004741584,0.9215977488915734,0.9218772307574531,0.92157659488013,0.8952014930932427,0.8956703796416773,0.8952110004741584,final-ambitus-initial
6,responsory,full,0.7342543681430312,0.712185870080607,0.7249148454961943,0.7451290726227517,0.7342543681430312,0.7017022238606632,0.6963222408740777,0.712185870080607,ambitus-initial
7,responsory,subset,0.5510534846029174,0.5066162570888468,0.4046066414987723,0.442855687099488,0.5510534846029174,0.3595523268045005,0.4221708912164998,0.5066162570888468,final
8,responsory,subset,0.5486223662884927,0.5463137996219282,0.5246975934232071,0.5618390736649753,0.5486223662884927,0.5058602930949252,0.5169715418645437,0.5463137996219282,ambitus
9,responsory,subset,0.46353322528363045,0.4706994328922495,0.3932375098592091,0.4185753713301881,0.46353322528363045,0.4021473038886311,0.4204027009751711,0.4706994328922495,initial
10,responsory,subset,0.8703403565640194,0.8090737240075614,0.8698165525170914,0.8712621884277421,0.8703403565640194,0.8085902807182412,0.8110420641408281,0.8090737240075614,final-ambitus
11,responsory,subset,0.7220421393841167,0.6786389413988658,0.6981448598722255,0.7685747882444709,0.7220421393841167,0.6544288011554403,0.7090514732438437,0.6786389413988658,final-initial
12,responsory,subset,0.8905996758508914,0.8279773156899811,0.8898079563230431,0.8930598002379954,0.8905996758508914,0.8273284028389045,0.8282821473304652,0.8279773156899811,final-ambitus-initial
13,responsory,subset,0.7074554294975689,0.6540642722117203,0.7027516131721111,0.7201525273455822,0.7074554294975689,0.6374183275040014,0.6294310262920535,0.6540642722117203,ambitus-initial
14,antiphon,full,0.5502781784463219,0.5491704736715557,0.4928265581162136,0.48924283289436266,0.5502781784463219,0.4923646109050226,0.48444911718997163,0.5491704736715557,final
15,antiphon,full,0.6610344117041006,0.6484731906708343,0.6241622409636036,0.652231841771123,0.6610344117041006,0.6103477077091346,0.631878003810171,0.6484731906708343,ambitus
16,antiphon,full,0.5418297960024727,0.5554219764366434,0.4804109583693274,0.5961568209057331,0.5418297960024727,0.49348794146635994,0.6133168537356777,0.5554219764366434,initial
17,antiphon,full,0.8168143416443437,0.7924981966818947,0.8140769129412019,0.8205604637709204,0.8168143416443437,0.7893619694124923,0.7933327261603916,0.7924981966818947,final-ambitus
18,antiphon,full,0.7433546260045333,0.7415244049050252,0.7233300899290833,0.736407883090495,0.7433546260045333,0.7230519644952179,0.7348756044877314,0.7415244049050252,final-initial
19,antiphon,full,0.8923346383680197,0.8607838422697763,0.8918587738381286,0.8930314550404949,0.8923346383680197,0.8597771314370237,0.8617453996232686,0.8607838422697763,final-ambitus-initial
20,antiphon,full,0.7591180712961055,0.7412839624909834,0.751133918025802,0.759831960085529,0.7591180712961055,0.7293996600076283,0.7390249198169144,0.7412839624909834,ambitus-initial
21,antiphon,subset,0.5345242184816215,0.5472756410256411,0.4694573103696277,0.5549089340897295,0.5345242184816215,0.4885903810501058,0.488146361994836,0.5472756410256411,final
22,antiphon,subset,0.6046032291308828,0.6049679487179487,0.5715090803070821,0.6199479913735003,0.6046032291308828,0.5653058326357697,0.612899506874618,0.6049679487179487,ambitus
23,antiphon,subset,0.49639299209893506,0.49599358974358976,0.430071392371251,0.5318393846701457,0.49639299209893506,0.4342533102164708,0.5376068928670856,0.49599358974358976,initial
24,antiphon,subset,0.7904500171762281,0.7756410256410257,0.7894188645241796,0.7995798832564317,0.7904500171762281,0.7730682467141514,0.781949601914565,0.7756410256410257,final-ambitus
25,antiphon,subset,0.7183098591549296,0.7099358974358975,0.711973829925672,0.7273210198789101,0.7183098591549296,0.7075676138291993,0.727535263823265,0.7099358974358975,final-initial
26,antiphon,subset,0.8691171418756442,0.8325320512820513,0.868149244536136,0.873670461568668,0.8691171418756442,0.8315508986688136,0.8343913507668549,0.8325320512820513,final-ambitus-initial
27,antiphon,subset,0.7275850223290965,0.7035256410256411,0.7242618970527304,0.7306047043996103,0.7275850223290965,0.6980170900710548,0.7047067412251371,0.7035256410256411,ambitus-initial
