,genre,subset,train_accuracy,test_accuracy,train_weighted_f1,train_weighted_precision,train_weighted_recall,test_weighted_f1,test_weighted_precision,test_weighted_recall,classifier,representation,segmentation
0,responsory,full,0.9626168224299065,0.9227121858700806,0.9625218032065692,0.9628222427005343,0.9626168224299065,0.9223708080700793,0.9232655974417974,0.9227121858700806,linear_svc,pitch,neumes
1,responsory,full,0.9699309223892727,0.9227121858700806,0.969902235120767,0.970040343406336,0.9699309223892727,0.9223744846990292,0.9226460919005987,0.9227121858700806,linear_svc,pitch,syllables
2,responsory,full,0.9685087362860626,0.8880986249407302,0.9684392065209226,0.9686692001185435,0.9685087362860626,0.8871238882346507,0.8901282853594481,0.8880986249407302,linear_svc,pitch,words
3,responsory,full,0.8752539618041446,0.8610715979137031,0.8749326290412448,0.8754153320186224,0.8752539618041446,0.860585977601915,0.8624628992621006,0.8610715979137031,linear_svc,pitch,1-mer
4,responsory,full,0.931938236489232,0.8999525841631105,0.9318057539881798,0.9319638895822465,0.931938236489232,0.8992927991420376,0.9011470499441688,0.8999525841631105,linear_svc,pitch,2-mer
5,responsory,full,0.9611946363266964,0.9089615931721194,0.9611085115009845,0.9612862455506785,0.9611946363266964,0.9086027058403472,0.909338916773486,0.9089615931721194,linear_svc,pitch,3-mer
6,responsory,full,0.9914668833807395,0.9118065433854907,0.9914662557283056,0.9914708408565288,0.9914668833807395,0.9112715315710463,0.9124381548596271,0.9118065433854907,linear_svc,pitch,4-mer
7,responsory,full,0.9924827305973182,0.889995258416311,0.9924835285267214,0.9924926672990215,0.9924827305973182,0.8888819010811182,0.8905809673198527,0.889995258416311,linear_svc,pitch,5-mer
8,responsory,full,0.9934985778138968,0.8662873399715505,0.9934966353168078,0.9935102695323216,0.9934985778138968,0.8646342087674693,0.868486083933831,0.8662873399715505,linear_svc,pitch,6-mer
9,responsory,full,0.9697277529459569,0.8411569464201043,0.9696309276156062,0.9704681831813184,0.9697277529459569,0.8387001715024794,0.8469741798233863,0.8411569464201043,linear_svc,pitch,7-mer
10,responsory,full,0.968915075172694,0.8060692271218587,0.9691065764463437,0.9705387568463222,0.968915075172694,0.8033241642787864,0.813553595080816,0.8060692271218587,linear_svc,pitch,8-mer
11,responsory,full,0.9207639171068671,0.7946894262683737,0.9212338425613337,0.9286495671467189,0.9207639171068671,0.7928936905055716,0.8122723184941957,0.7946894262683737,linear_svc,pitch,9-mer
12,responsory,full,0.9187322226737099,0.7567567567567568,0.9204489419118901,0.9307439858407269,0.9187322226737099,0.7561639418351915,0.7810252845293343,0.7567567567567568,linear_svc,pitch,10-mer
13,responsory,full,0.8941487200325071,0.7145566619250829,0.8964251446376726,0.9136319334154854,0.8941487200325071,0.7142602724464381,0.7504224661856994,0.7145566619250829,linear_svc,pitch,11-mer
14,responsory,full,0.8923201950426656,0.6984352773826458,0.8960067923541792,0.9167783140834006,0.8923201950426656,0.7025130835033521,0.7413108988916016,0.6984352773826458,linear_svc,pitch,12-mer
15,responsory,full,0.8726127590410402,0.6818397344713134,0.8770547337177653,0.9014735412096193,0.8726127590410402,0.6855671583269315,0.7428625060054659,0.6818397344713134,linear_svc,pitch,13-mer
16,responsory,full,0.8612352702153596,0.647226173541963,0.8649310210863129,0.8889794293990905,0.8612352702153596,0.6510583609912964,0.7159780936132344,0.647226173541963,linear_svc,pitch,14-mer
17,responsory,full,0.8618447785453068,0.6178283546704599,0.8676630868479274,0.8981661214088991,0.8618447785453068,0.6185819241724265,0.7006770727883134,0.6178283546704599,linear_svc,pitch,15-mer
18,responsory,full,0.8541243396993092,0.5941204362256994,0.859903201442148,0.8924418026112032,0.8541243396993092,0.5996502808888585,0.6965503605293395,0.5941204362256994,linear_svc,pitch,16-mer
19,responsory,full,0.9849654611946363,0.8558558558558559,0.984947117463393,0.9850086215915078,0.9849654611946363,0.8530624284378007,0.8569423645752468,0.8558558558558559,linear_svc,pitch,poisson-3
20,responsory,full,0.9786672084518488,0.7885253674727359,0.9786342981223538,0.9788014542403212,0.9786672084518488,0.7815879883544922,0.7929377186554175,0.7885253674727359,linear_svc,pitch,poisson-5
21,responsory,full,0.9691182446160097,0.6856330014224751,0.9689914877794733,0.9695543429665339,0.9691182446160097,0.6734419258911557,0.6822195949732417,0.6856330014224751,linear_svc,pitch,poisson-7
22,responsory,full,0.983746444534742,0.8615457562825984,0.9837422415896965,0.9837938791680928,0.983746444534742,0.8600523508817399,0.8621163430781115,0.8615457562825984,linear_svc,interval-dependent,neumes
23,responsory,full,0.9721657862657457,0.8752963489805595,0.9720717713679585,0.9723651293400336,0.9721657862657457,0.8733458505659264,0.8766210183141195,0.8752963489805595,linear_svc,interval-dependent,syllables
24,responsory,full,0.983746444534742,0.8643907064959696,0.9837219387857483,0.9838024120526925,0.983746444534742,0.8630452674349647,0.8654508721453393,0.8643907064959696,linear_svc,interval-dependent,words
25,responsory,full,0.5678585940674522,0.5571360834518729,0.5440299986109923,0.5732425179488929,0.5678585940674522,0.5349276576810843,0.5681165076238828,0.5571360834518729,linear_svc,interval-dependent,1-mer
26,responsory,full,0.8130841121495327,0.7373162636320532,0.8110076764770731,0.8138245899457229,0.8130841121495327,0.733393300791154,0.7360388795398003,0.7373162636320532,linear_svc,interval-dependent,2-mer
27,responsory,full,0.9494108086143844,0.8008534850640113,0.949353821048046,0.9494675548993661,0.9494108086143844,0.7987767580744297,0.8017931004223108,0.8008534850640113,linear_svc,interval-dependent,3-mer
