,genre,subset,train_accuracy,test_accuracy,train_weighted_f1,train_weighted_precision,train_weighted_recall,test_weighted_f1,test_weighted_precision,test_weighted_recall,feature_set
0,responsory,full,0.5497765136123527,0.5272641062114747,0.4018181026230757,0.4850934985249879,0.5497765136123527,0.3773435449519882,0.4794122427854409,0.5272641062114747,final
1,responsory,full,0.6044290938642828,0.5917496443812233,0.5709859387898096,0.6111563339002759,0.6044290938642828,0.5586489759202464,0.5670803044416186,0.5917496443812233,ambitus
2,responsory,full,0.4719626168224299,0.4642010431484116,0.38156708325635946,0.4314422731340105,0.4719626168224299,0.37761266078754874,0.4071990936464796,0.4642010431484116,initial
3,responsory,full,0.9085737505079237,0.8800379326695116,0.9087561825704454,0.9112414711827383,0.9085737505079237,0.879240933693098,0.8836650335800034,0.8800379326695116,final-ambitus
4,responsory,full,0.7620885818772857,0.7387387387387387,0.7483712815761951,0.8009435211632223,0.7620885818772857,0.7225688960511596,0.7854523156707148,0.7387387387387387,final-initial
5,responsory,full,0.9256399837464445,0.8904694167852063,0.9256538406934496,0.9261154718534622,0.9256399837464445,0.8900081056575871,0.8915213473328816,0.8904694167852063,final-ambitus-initial
6,responsory,full,0.73669240146282,0.712185870080607,0.7281587035760304,0.7441819769641393,0.73669240146282,0.7046261361631784,0.713085862926356,0.712185870080607,ambitus-initial
7,responsory,subset,0.5421393841166937,0.5368620037807184,0.3972852434487343,0.4690593835212766,0.5421393841166937,0.3945794105747284,0.4573159546518056,0.5368620037807184,final
8,responsory,subset,0.546191247974068,0.5425330812854442,0.5100585701913807,0.5018727488446337,0.546191247974068,0.5091559598877131,0.5056691675182181,0.5425330812854442,ambitus
9,responsory,subset,0.4740680713128039,0.4706994328922495,0.3891957727624339,0.4338426816366282,0.4740680713128039,0.37127090850802164,0.3867409345620655,0.4706994328922495,initial
10,responsory,subset,0.8703403565640194,0.8582230623818525,0.8704642424665697,0.8719985788437961,0.8703403565640194,0.8579129659157166,0.8594212029704874,0.8582230623818525,final-ambitus
11,responsory,subset,0.7212317666126418,0.6994328922495274,0.7004753767793789,0.7675516246191201,0.7212317666126418,0.665288225310643,0.7365073047145406,0.6994328922495274,final-initial
12,responsory,subset,0.8987034035656402,0.8620037807183365,0.8980952463081824,0.9003664700546429,0.8987034035656402,0.8611075392216601,0.8629168133129331,0.8620037807183365,final-ambitus-initial
13,responsory,subset,0.7147487844408428,0.6578449905482041,0.7113403128066222,0.7149165800465793,0.7147487844408428,0.6529875136781568,0.660950424034824,0.6578449905482041,ambitus-initial
14,antiphon,full,0.5529569338553472,0.5467660495311373,0.48746250396970026,0.46370065155760765,0.5529569338553472,0.4799776439108933,0.4564879295029627,0.5467660495311373,final
15,antiphon,full,0.6619616731918401,0.6410194758355374,0.6342921683361724,0.6689324775523309,0.6619616731918401,0.6091306253759317,0.6428868003976719,0.6410194758355374,ambitus
16,antiphon,full,0.546672161549557,0.5441211829766771,0.4839647890863691,0.5957837336794606,0.546672161549557,0.48543498308983146,0.6098686522603322,0.5441211829766771,initial
17,antiphon,full,0.8181537193488564,0.7941812935801875,0.8172196224897054,0.8208193076368707,0.8181537193488564,0.7926421071205535,0.7967835144652106,0.7941812935801875,final-ambitus
18,antiphon,full,0.7447970327632393,0.7386390959365232,0.7250380526736967,0.7396093822193214,0.7447970327632393,0.7203829195433219,0.7300667632252752,0.7386390959365232,final-initial
19,antiphon,full,0.890583144446734,0.864390478480404,0.8902015828585749,0.8920879934130761,0.890583144446734,0.863553443385328,0.8651531391357227,0.864390478480404,final-ambitus-initial
20,antiphon,full,0.7587059550793324,0.7465736955999038,0.7476714142892416,0.7619862289630613,0.7587059550793324,0.7318993351589144,0.7422385390138004,0.7465736955999038,ambitus-initial
21,antiphon,subset,0.527997251803504,0.5384615384615384,0.4662324727706144,0.4532599987562196,0.527997251803504,0.47965390375316275,0.4693680580006908,0.5384615384615384,final
22,antiphon,subset,0.610443146684988,0.5993589743589743,0.5783760653128429,0.6279763427520609,0.610443146684988,0.5679055254671374,0.5959563266075677,0.5993589743589743,ambitus
23,antiphon,subset,0.49673651666094126,0.49439102564102566,0.4401468651664215,0.5493038574695822,0.49673651666094126,0.4396059568989855,0.5543634657074941,0.49439102564102566,initial
24,antiphon,subset,0.7907935417382342,0.7572115384615384,0.7894852232161241,0.7963405777514485,0.7907935417382342,0.7562958756759944,0.7608749063517558,0.7572115384615384,final-ambitus
25,antiphon,subset,0.7121264170388183,0.6995192307692307,0.7063088676327137,0.7193470257979155,0.7121264170388183,0.6950606406530857,0.7120996361985598,0.6995192307692307,final-initial
26,antiphon,subset,0.8842322226039162,0.8076923076923077,0.8832931665235378,0.8874806773592001,0.8842322226039162,0.8062810986215687,0.8095572546539699,0.8076923076923077,final-ambitus-initial
27,antiphon,subset,0.7427001030573686,0.6778846153846154,0.7411168650633823,0.7480117022084882,0.7427001030573686,0.677923829175687,0.6819060646037084,0.6778846153846154,ambitus-initial
