,genre,subset,train_accuracy,test_accuracy,train_weighted_f1,train_weighted_precision,train_weighted_recall,test_weighted_f1,test_weighted_precision,test_weighted_recall,classifier,representation,segmentation
0,responsory,full,0.9483949613978058,0.9203413940256046,0.9482650915632724,0.9486101021880318,0.9483949613978058,0.9199276226362707,0.920230381620632,0.9203413940256046,linear_svc,pitch,neumes
1,responsory,full,0.9624136529865908,0.9298245614035088,0.9623533560314014,0.9624741101841957,0.9624136529865908,0.9296499708875987,0.9300528202915797,0.9298245614035088,linear_svc,pitch,syllables
2,responsory,full,0.9703372612759041,0.9137031768610716,0.9702712524543273,0.9704613226670751,0.9703372612759041,0.9132614332651756,0.9140233356652704,0.9137031768610716,linear_svc,pitch,words
3,responsory,full,0.8736286062576188,0.8639165481270744,0.8731942642940128,0.8737459239629823,0.8736286062576188,0.8639054385054412,0.8646223548994754,0.8639165481270744,linear_svc,pitch,1-mer
4,responsory,full,0.9234051198699715,0.9013750592697961,0.9231952520121922,0.9234909944191563,0.9234051198699715,0.9009488823478584,0.901289509451532,0.9013750592697961,linear_svc,pitch,2-mer
5,responsory,full,0.958553433563592,0.9165481270744429,0.9584877886397397,0.9586143060357255,0.958553433563592,0.9162814607100151,0.9164365435352834,0.9165481270744429,linear_svc,pitch,3-mer
6,responsory,full,0.9766355140186916,0.9165481270744429,0.9766151010835906,0.9767309902357185,0.9766355140186916,0.9158379333047248,0.9167920917325705,0.9165481270744429,linear_svc,pitch,4-mer
7,responsory,full,0.9924827305973182,0.9151256519677572,0.9924843484769044,0.9924979330942995,0.9924827305973182,0.9146315365096787,0.9155818526489984,0.9151256519677572,linear_svc,pitch,5-mer
8,responsory,full,0.9884193417310037,0.8824087245139877,0.9884250522652474,0.9884667682715763,0.9884193417310037,0.8803685742267421,0.8839175781146797,0.8824087245139877,linear_svc,pitch,6-mer
9,responsory,full,0.9833401056481105,0.8587008060692272,0.9833218139209113,0.9834539236773572,0.9833401056481105,0.8559681328893952,0.8586431403645929,0.8587008060692272,linear_svc,pitch,7-mer
10,responsory,full,0.9819179195449005,0.8169748696064486,0.9820752849484822,0.9829540807953723,0.9819179195449005,0.8154998537919214,0.8176802355819092,0.8169748696064486,linear_svc,pitch,8-mer
11,responsory,full,0.9388459975619666,0.7871028923660502,0.9396132179493488,0.9451715152716422,0.9388459975619666,0.7843348850884151,0.7964895079971701,0.7871028923660502,linear_svc,pitch,9-mer
12,responsory,full,0.9055262088581877,0.7558084400189663,0.9066905863226637,0.9171907986349621,0.9055262088581877,0.7523680198149525,0.7752796242121969,0.7558084400189663,linear_svc,pitch,10-mer
13,responsory,full,0.8892726533929297,0.7311522048364154,0.8911435260905797,0.905659675719151,0.8892726533929297,0.7302930470730395,0.7568217106267089,0.7311522048364154,linear_svc,pitch,11-mer
14,responsory,full,0.8811458756603007,0.6993835941204363,0.8844607997131635,0.9051531546934614,0.8811458756603007,0.6995142466912171,0.7352238345196104,0.6993835941204363,linear_svc,pitch,12-mer
15,responsory,full,0.8742381145875661,0.6908487434803224,0.8781723470704383,0.9007060172940786,0.8742381145875661,0.6939795869997787,0.7439522531100802,0.6908487434803224,linear_svc,pitch,13-mer
16,responsory,full,0.8616416091019911,0.6306306306306306,0.8655997238106188,0.8897625033354647,0.8616416091019911,0.6323733981119776,0.6867391924057586,0.6306306306306306,linear_svc,pitch,14-mer
17,responsory,full,0.8667208451848842,0.6386913229018493,0.8728068706174505,0.9017058405695166,0.8667208451848842,0.6417704552998327,0.706003787332328,0.6386913229018493,linear_svc,pitch,15-mer
18,responsory,full,0.8559528646891508,0.6083451872925557,0.862424476334841,0.8951912434411513,0.8559528646891508,0.6144049356439965,0.7037595452862772,0.6083451872925557,linear_svc,pitch,16-mer
19,responsory,full,0.9705404307192198,0.8605974395448079,0.9705401087441097,0.9707176535150284,0.9705404307192198,0.8582459081541932,0.8594632946479841,0.8605974395448079,linear_svc,pitch,poisson-3
20,responsory,full,0.9967492889069484,0.7847321005215742,0.9967494888798908,0.9967564963001008,0.9967492889069484,0.7813701149796748,0.782774430013386,0.7847321005215742,linear_svc,pitch,poisson-5
21,responsory,full,0.9402681836651767,0.701280227596017,0.9397606078010462,0.9414895062684306,0.9402681836651767,0.6911223970857118,0.6958103702350811,0.701280227596017,linear_svc,pitch,poisson-7
22,responsory,full,0.9869971556277936,0.8624940730203888,0.9869968621441142,0.987047254329295,0.9869971556277936,0.8617324879188556,0.8619436231931503,0.8624940730203888,linear_svc,interval-dependent,neumes
23,responsory,full,0.9886225111743194,0.889995258416311,0.9886246885073137,0.9886665736064039,0.9886225111743194,0.8890199245454022,0.8893798853027124,0.889995258416311,linear_svc,interval-dependent,syllables
24,responsory,full,0.9670865501828525,0.8653390232337601,0.9669920797313081,0.9675057926406081,0.9670865501828525,0.8634171927942449,0.8671139276409323,0.8653390232337601,linear_svc,interval-dependent,words
25,responsory,full,0.5723283218203982,0.5467045993361783,0.5464513680904178,0.5553574546899851,0.5723283218203982,0.5269686293700906,0.541909536408111,0.5467045993361783,linear_svc,interval-dependent,1-mer
26,responsory,full,0.8130841121495327,0.7368421052631579,0.8115520206903367,0.8130732242199351,0.8130841121495327,0.7344022759173835,0.7337265369526429,0.7368421052631579,linear_svc,interval-dependent,2-mer
27,responsory,full,0.9089800893945551,0.8103366524419156,0.9085513716318208,0.9096475791516049,0.9089800893945551,0.8080638795061975,0.8095657242527539,0.8103366524419156,linear_svc,interval-dependent,3-mer
28,responsory,full,0.9922795611540024,0.8387861545756282,0.9922802436163095,0.9922876265243157,0.9922795611540024,0.837856710823837,0.8387268918521747,0.8387861545756282,linear_svc,interval-dependent,4-mer
29,responsory,full,0.9953271028037384,0.8482693219535324,0.9953284377599287,0.9953379941993309,0.9953271028037384,0.8458525970874571,0.8479809996088704,0.8482693219535324,linear_svc,interval-dependent,5-mer
30,responsory,full,0.982933766761479,0.8141299193930773,0.982924641299247,0.9831426416846422,0.982933766761479,0.8092395969541473,0.8180377651586446,0.8141299193930773,linear_svc,interval-dependent,6-mer
31,responsory,full,0.9884193417310037,0.8060692271218587,0.9884230659457443,0.988550898481267,0.9884193417310037,0.8036610645239624,0.8064541374179316,0.8060692271218587,linear_svc,interval-dependent,7-mer
32,responsory,full,0.9719626168224299,0.7743006164058795,0.9723655502646045,0.974240426277092,0.9719626168224299,0.7709437279866935,0.7750269318147156,0.7743006164058795,linear_svc,interval-dependent,8-mer
33,responsory,full,0.936407964242178,0.7591275486012328,0.9373524459692973,0.9432993932011233,0.936407964242178,0.7561781331672626,0.7671930120131992,0.7591275486012328,linear_svc,interval-dependent,9-mer
34,responsory,full,0.886834620073141,0.7112375533428165,0.8875865684173375,0.9024152712677929,0.886834620073141,0.7072070618485644,0.7345806969548483,0.7112375533428165,linear_svc,interval-dependent,10-mer
