,genre,subset,train_accuracy,test_accuracy,train_weighted_f1,train_weighted_precision,train_weighted_recall,test_weighted_f1,test_weighted_precision,test_weighted_recall,profile
0,responsory,full,1.0,0.8790896159317212,1.0,1.0,1.0,0.8788380305753779,0.8799904348183487,0.8790896159317212,pitch
1,responsory,full,0.8618447785453068,0.8553816974869607,0.8611810331714655,0.8619926925524761,0.8618447785453068,0.8546386506568096,0.8557019626129274,0.8553816974869607,pitch_class
2,responsory,full,0.9997968305566842,0.8326220957799905,0.9997969366387021,0.999797475539044,0.9997968305566842,0.8276658762249729,0.8307582282697961,0.8326220957799905,repetition
3,responsory,subset,0.8565640194489466,0.775047258979206,0.856182527342696,0.8578202668058236,0.8565640194489466,0.7731528250807704,0.7737798333060051,0.775047258979206,pitch
4,responsory,subset,1.0,0.7844990548204159,1.0,1.0,1.0,0.780704203246117,0.7838162079683609,0.7844990548204159,pitch_class
5,responsory,subset,0.7674230145867099,0.7126654064272212,0.7611212630349639,0.7654431905563458,0.7674230145867099,0.7018263366531053,0.7047590955037338,0.7126654064272212,repetition
6,antiphon,full,0.9998969709458068,0.8975715316181775,0.9998970300241605,0.9998972442324225,0.9998969709458068,0.8967258071639935,0.8989296971929864,0.8975715316181775,pitch
7,antiphon,full,0.9998969709458068,0.8867516229862947,0.9998970300241605,0.9998972442324225,0.9998969709458068,0.8855744537065847,0.8879640129732232,0.8867516229862947,pitch_class
8,antiphon,full,0.8646198227900268,0.8463572974272662,0.8631279483231262,0.8652129187489085,0.8646198227900268,0.8436749908101288,0.8466118604208818,0.8463572974272662,repetition
9,antiphon,subset,0.8694606664376503,0.8517628205128205,0.8690785790368879,0.8704199509005962,0.8694606664376503,0.8509104561076756,0.8540571179678431,0.8517628205128205,pitch
10,antiphon,subset,1.0,0.8389423076923077,1.0,1.0,1.0,0.837698663796144,0.8406246330248937,0.8389423076923077,pitch_class
11,antiphon,subset,0.9989694263139814,0.7924679487179487,0.9989691142025773,0.9989705330614818,0.9989694263139814,0.7896266682344457,0.7988185663169282,0.7924679487179487,repetition
